Season,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2021-2022,Round of 16,Tue,2022-03-08,21:00,Bayern Munich,7–1,atRB Salzburg,"25,000",Allianz Arena,Clément Turpin,Match Report,Leg 2 of 2; Bayern Munich won
2021-2022,Round of 16,Wed,2022-03-09,20:00,Manchester City,0–0,Sporting CP,"51,213",Etihad Stadium,Halil Umut Meler,Match Report,Leg 2 of 2; Manchester City won
2021-2022,Round of 16,Wed,2022-03-09,21:00,Real Madrid,3–1,Paris S-G,"59,895",Estadio Santiago Bernabéu,Danny Makkelie,Match Report,Leg 2 of 2; Real Madrid won
2021-2022,Round of 16,Tue,2022-03-15,20:00,Manchester Utd,0–1,Atlético Madrid,"73,008",Old Trafford,Slavko Vinčič,Match Report,Leg 2 of 2; Atlético Madrid won
2021-2022,Round of 16,Tue,2022-03-15,21:00,Ajaxnl,0–1,Benfica,"54,066",Johan Cruyff ArenA,Carlos del Cerro,Match Report,Leg 2 of 2; Benfica won
2021-2022,Round of 16,Wed,2022-03-16,21:00,Juventus,0–3,Villarreal,"30,385",Allianz Stadium,Szymon Marciniak,Match Report,Leg 2 of 2; Villarreal won
2021-2022,Round of 16,Wed,2022-03-16,21:00,Lille,1–2,Chelsea,"49,048",Stade Pierre-Mauroy,Davide Massa,Match Report,Leg 2 of 2; Chelsea won
2021-2022,Quarter-finals,Tue,2022-04-05,20:00,Manchester City,1–0,Atlético Madrid,"52,018",Etihad Stadium,István Kovács,Match Report,Leg 1 of 2
2021-2022,Quarter-finals,Tue,2022-04-05,20:00,Benfica,1–3,Liverpool,"59,633",Estádio do Sport Lisboa e Benfica,Jesús Gil,Match Report,Leg 1 of 2
2021-2022,Quarter-finals,Wed,2022-04-06,20:00,Chelsea,1–3,Real Madrid,"38,689",Stamford Bridge,Clément Turpin,Match Report,Leg 1 of 2
2021-2022,Quarter-finals,Wed,2022-04-06,21:00,Villarreal,1–0,Bayern Munich,"21,626",Estadio de la Cerámica,Anthony Taylor,Match Report,Leg 1 of 2
2021-2022,Quarter-finals,Tue,2022-04-12,21:00,Real Madrid,2–3,Chelsea,"59,839",Estadio Santiago Bernabéu,Szymon Marciniak,Match Report,Leg 2 of 2; Real Madrid won; Required Extra Time
2021-2022,Quarter-finals,Tue,2022-04-12,21:00,Bayern Munich,1–1,Villarreal,"70,000",Allianz Arena,Slavko Vinčič,Match Report,Leg 2 of 2; Villarreal won
2021-2022,Quarter-finals,Wed,2022-04-13,20:00,Liverpool,3–3,Benfica,"51,373",Anfield,Serdar Gözübüyük,Match Report,Leg 2 of 2; Liverpool won
2021-2022,Quarter-finals,Wed,2022-04-13,21:00,Atlético Madrid,0–0,Manchester City,"65,675",Estadio Wanda Metropolitano,Daniel Siebert,Match Report,Leg 2 of 2; Manchester City won
2021-2022,Semi-finals,Tue,2022-04-26,20:00,Manchester City,4–3,Real Madrid,"52,217",Etihad Stadium,István Kovács,Match Report,Leg 1 of 2
2021-2022,Semi-finals,Wed,2022-04-27,20:00,Liverpool,2–0,Villarreal,"51,586",Anfield,Szymon Marciniak,Match Report,Leg 1 of 2
2021-2022,Semi-finals,Tue,2022-05-03,21:00,Villarreal,2–3,Liverpool,"23,665",Estadio de la Cerámica,Danny Makkelie,Match Report,Leg 2 of 2; Liverpool won
2021-2022,Semi-finals,Wed,2022-05-04,21:00,Real Madrid,3–1,Manchester City,"61,416",Estadio Santiago Bernabéu,Daniele Orsato,Match Report,Leg 2 of 2; Real Madrid won; Required Extra Time
2021-2022,Final,Sat,2022-05-28,21:30,Liverpool,0–1,Real Madrid,"75,000",Stade de France (Neutral Site),Clément Turpin,Match Report,
2022-2023,Round of 16,Tue,2023-02-14,21:00,Milan,1–0,Tottenham,"74,320",Stadio Giuseppe Meazza,Sandro Schärer,Match Report,Leg 1 of 2
2022-2023,Round of 16,Tue,2023-02-14,21:00,Paris S-G,0–1,Bayern Munich,"46,435",Parc des Princes,Michael Oliver,Match Report,Leg 1 of 2
2022-2023,Round of 16,Wed,2023-02-15,21:00,Club Bruggebe,0–2,Benfica,"24,136",Jan Breydelstadion,Davide Massa,Match Report,Leg 1 of 2
2022-2023,Round of 16,Wed,2023-02-15,21:00,Dortmund,1–0,Chelsea,"81,365",Signal Iduna Park,Jesús Gil,Match Report,Leg 1 of 2
2022-2023,Round of 16,Tue,2023-02-21,20:00,Liverpool,2–5,Real Madrid,"52,337",Anfield,István Kovács,Match Report,Leg 1 of 2
2022-2023,Round of 16,Tue,2023-02-21,21:00,Eint Frankfurt,0–2,Napoli,"47,500",Deutsche Bank Park,Artur Dias,Match Report,Leg 1 of 2
2022-2023,Round of 16,Wed,2023-02-22,21:00,Inter,1–0,Porto,"75,374",Stadio Giuseppe Meazza,Srđan Jovanović,Match Report,Leg 1 of 2
2022-2023,Round of 16,Wed,2023-02-22,21:00,RB Leipzig,1–1,Manchester City,"45,228",Red Bull Arena,Serdar Gözübüyük,Match Report,Leg 1 of 2
2022-2023,Round of 16,Tue,2023-03-07,20:00,Benfica,5–1,beClub Brugge,"60,960",Estádio do Sport Lisboa e Benfica,Halil Umut Meler,Match Report,Leg 2 of 2; Benfica won
2022-2023,Round of 16,Tue,2023-03-07,20:00,Chelsea,2–0,Dortmund,"38,882",Stamford Bridge,Danny Makkelie,Match Report,Leg 2 of 2; Chelsea won
2022-2023,Round of 16,Wed,2023-03-08,20:00,Tottenham,0–0,Milan,"61,602",Tottenham Hotspur Stadium,Clément Turpin,Match Report,Leg 2 of 2; Milan won
2022-2023,Round of 16,Wed,2023-03-08,21:00,Bayern Munich,2–0,Paris S-G,"75,000",Allianz Arena,Daniele Orsato,Match Report,Leg 2 of 2; Bayern Munich won
2022-2023,Round of 16,Tue,2023-03-14,20:00,Porto,0–0,Inter,"48,015",Estádio Do Dragão,Szymon Marciniak,Match Report,Leg 2 of 2; Inter won
2022-2023,Round of 16,Tue,2023-03-14,20:00,Manchester City,7–0,RB Leipzig,"52,038",Etihad Stadium,Slavko Vinčič,Match Report,Leg 2 of 2; Manchester City won
2022-2023,Round of 16,Wed,2023-03-15,21:00,Real Madrid,1–0,Liverpool,"63,127",Estadio Santiago Bernabéu,Felix Zwayer,Match Report,Leg 2 of 2; Real Madrid won
2022-2023,Round of 16,Wed,2023-03-15,21:00,Napoli,3–0,Eint Frankfurt,"49,082",Stadio Diego Armando Maradona,Anthony Taylor,Match Report,Leg 2 of 2; Napoli won
2022-2023,Quarter-finals,Tue,2023-04-11,20:00,Benfica,0–2,Inter,"62,594",Estádio da Luz (1954),Michael Oliver,Match Report,Leg 1 of 2
2022-2023,Quarter-finals,Tue,2023-04-11,20:00,Manchester City,3–0,Bayern Munich,"52,257",Etihad Stadium,Jesús Gil,Match Report,Leg 1 of 2
2022-2023,Quarter-finals,Wed,2023-04-12,21:00,Milan,1–0,Napoli,"74,742",Stadio Giuseppe Meazza,István Kovács,Match Report,Leg 1 of 2
2022-2023,Quarter-finals,Wed,2023-04-12,21:00,Real Madrid,2–0,Chelsea,"63,142",Estadio Santiago Bernabéu,François Letexier,Match Report,Leg 1 of 2
2022-2023,Quarter-finals,Tue,2023-04-18,20:00,Chelsea,0–2,Real Madrid,"39,453",Stamford Bridge,Daniele Orsato,Match Report,Leg 2 of 2; Real Madrid won
2022-2023,Quarter-finals,Tue,2023-04-18,21:00,Napoli,1–1,Milan,"52,728",Stadio Diego Armando Maradona,Szymon Marciniak,Match Report,Leg 2 of 2; Milan won
2022-2023,Quarter-finals,Wed,2023-04-19,21:00,Inter,3–3,Benfica,"75,380",Stadio Giuseppe Meazza,Carlos del Cerro,Match Report,Leg 2 of 2; Inter won
2022-2023,Quarter-finals,Wed,2023-04-19,21:00,Bayern Munich,1–1,Manchester City,"75,000",Allianz Arena,Clément Turpin,Match Report,Leg 2 of 2; Manchester City won
2022-2023,Semi-finals,Tue,2023-05-09,21:00,Real Madrid,1–1,Manchester City,"63,485",Estadio Santiago Bernabéu,Artur Dias,Match Report,Leg 1 of 2
2022-2023,Semi-finals,Wed,2023-05-10,21:00,Milan,0–2,Inter,"75,532",Stadio Giuseppe Meazza,Jesús Gil,Match Report,Leg 1 of 2
2022-2023,Semi-finals,Tue,2023-05-16,21:00,Inter,1–0,Milan,"75,567",Stadio Giuseppe Meazza,Clément Turpin,Match Report,Leg 2 of 2; Inter won
2022-2023,Semi-finals,Wed,2023-05-17,20:00,Manchester City,4–0,Real Madrid,"52,313",Etihad Stadium,Szymon Marciniak,Match Report,Leg 2 of 2; Manchester City won
2022-2023,Final,Sat,2023-06-10,22:00,Manchester City,1–0,Inter,"71,412",Atatürk Olimpiyat Stadı (Neutral Site),Szymon Marciniak,Match Report,
