Season,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2006-2007,Semi-finals,Wed,2007-04-25,,Chelsea,1–0,Liverpool,,Stamford Bridge,Markus Merk,Match Report,Leg 1 of 2
2006-2007,Semi-finals,Tue,2007-05-01,,Liverpool,(4)1–0(1),Chelsea,,Anfield,Mejuto González,Match Report,Leg 2 of 2; Liverpool won; Liverpool won on penalty kicks following extra time
2006-2007,Semi-finals,Wed,2007-05-02,,Milan,3–0,Manchester Utd,,Stadio Giuseppe Meazza,Frank de Bleeckere,Match Report,Leg 2 of 2; Milan won
2006-2007,Final,Wed,2007-05-23,,Milan,2–1,Liverpool,,OAKA Spiros Louis (Neutral Site),Herbert Fandel,Match Report,
2007-2008,Round of 16,Tue,2008-02-19,,Schalke 04,1–0,Porto,,Arena AufSchalke,Laurent Duhamel,Match Report,Leg 1 of 2
2007-2008,Round of 16,Tue,2008-02-19,,Liverpool,2–0,Inter,,Anfield,Frank de Bleeckere,Match Report,Leg 1 of 2
2007-2008,Round of 16,Tue,2008-02-19,,Roma,2–1,Real Madrid,,Stadio Olimpico,Herbert Fandel,Match Report,Leg 1 of 2
2007-2008,Round of 16,Tue,2008-02-19,,Olympiacosgr,0–0,Chelsea,,Stadio Georgios Karaiskakis,Konrad Plautz,Match Report,Leg 1 of 2
2007-2008,Round of 16,Wed,2008-02-20,,Arsenal,0–0,Milan,,Arsenal Stadium,Claus Bo Larsen,Match Report,Leg 1 of 2
2007-2008,Round of 16,Wed,2008-02-20,,Celticsct,2–3,Barcelona,,Celtic Park,Peter Fröjdfeldt,Match Report,Leg 1 of 2
2007-2008,Round of 16,Wed,2008-02-20,,Fenerbahçetr,3–2,Sevilla,,Şükrü Saracoğlu,Florian Meyer,Match Report,Leg 1 of 2
2007-2008,Round of 16,Wed,2008-02-20,,Lyon,1–1,Manchester Utd,,Stade de Gerland,Medina Cantalejo,Match Report,Leg 1 of 2
2007-2008,Round of 16,Tue,2008-03-04,,Manchester Utd,1–0,Lyon,,Old Trafford,Roberto Rosetti,Match Report,Leg 2 of 2; Manchester Utd won
2007-2008,Round of 16,Tue,2008-03-04,,Sevilla,(2)3–2(3),trFenerbahçe,,Estadio Ramón Sánchez Pizjuán,Massimo Busacca,Match Report,Leg 2 of 2; Fenerbahçe won; Fenerbahçe won on penalty kicks following extra time
2007-2008,Round of 16,Tue,2008-03-04,,Milan,0–2,Arsenal,,Stadio Giuseppe Meazza,Konrad Plautz,Match Report,Leg 2 of 2; Arsenal won
2007-2008,Round of 16,Tue,2008-03-04,,Barcelona,1–0,sctCeltic,,Camp Nou,Pieter Vink,Match Report,Leg 2 of 2; Barcelona won
