Season,Round,Day,Date,Home,Score,Away,Venue,Referee
2017-2018,Round of 16,Tue,2018-03-13,Manchester Utd,1-2,Sevilla,Old Trafford,Danny Makkelie
2017-2018,Round of 16,Tue,2018-03-13,Roma,1-0,Shakhtar,Stadio Olimpico,Alberto Undiano
2017-2018,Round of 16,Wed,2018-03-14,Beşiktaş,1-3,Bayern Munich,Vodafone Arena,Michael Oliver
2017-2018,Round of 16,Wed,2018-03-14,Barcelona,3-0,Chelsea,Camp Nou,Damir Skomina
2017-2018,Quarter-finals,Tue,2018-04-03,Sevilla,1-2,Bayern Munich,Estadio Ramón Sánchez Pizjuán,Daniele Orsato
2017-2018,Quarter-finals,Tue,2018-04-03,Juventus,0-3,Real Madrid,Allianz Stadium,Cüneyt Çakιr
2017-2018,Quarter-finals,Wed,2018-04-04,Liverpool,3-0,Manchester City,Anfield,Felix Brych
2017-2018,Quarter-finals,Wed,2018-04-04,Barcelona,4-1,Roma,Camp Nou,Danny Makkelie
2017-2018,Quarter-finals,Tue,2018-04-10,Manchester City,1-2,Liverpool,Etihad Stadium,Antonio Matéu Lahoz
2017-2018,Quarter-finals,Tue,2018-04-10,Roma,3-0,Barcelona,Stadio Olimpico,Clément Turpin
2017-2018,Quarter-finals,Wed,2018-04-11,Bayern Munich,0-0,Sevilla,Allianz Arena,William Collum
2017-2018,Quarter-finals,Wed,2018-04-11,Real Madrid,1-3,Juventus,Estadio Santiago Bernabéu,Michael Oliver
2017-2018,Semi-finals,Tue,2018-04-24,Liverpool,5-2,Roma,Anfield,Felix Brych
2017-2018,Semi-finals,Wed,2018-04-25,Bayern Munich,1-2,Real Madrid,Allianz Arena,Björn Kuipers
2017-2018,Semi-finals,Tue,2018-05-01,Real Madrid,2-2,Bayern Munich,Estadio Santiago Bernabéu,Cüneyt Çakιr
2017-2018,Semi-finals,Wed,2018-05-02,Roma,4-2,Liverpool,Stadio Olimpico,Damir Skomina
2017-2018,Final,Sat,2018-05-26,Real Madrid,3-1,Liverpool,NSK Olimpijs'kyj (Neutral Site),Milorad Mažić
2016-2017,Round of 16,Tue,2017-02-14,Benfica,1-0,Dortmund,Estádio do Sport Lisboa e Benfica,Nicola Rizzoli
2016-2017,Round of 16,Tue,2017-02-14,Paris S-G,4-0,Barcelona,Parc des Princes,Szymon Marciniak
2016-2017,Round of 16,Wed,2017-02-15,Bayern Munich,5-1,Arsenal,Allianz Arena,Milorad Mažić
2016-2017,Round of 16,Wed,2017-02-15,Real Madrid,3-1,Napoli,Estadio Santiago Bernabéu,Damir Skomina
2016-2017,Round of 16,Tue,2017-02-21,Manchester City,5-3,Monaco,Etihad Stadium,Antonio Matéu Lahoz
2016-2017,Round of 16,Tue,2017-02-21,Leverkusen,2-4,Atlético Madrid,BayArena,William Collum
2016-2017,Round of 16,Wed,2017-02-22,Porto,0-2,Juventus,Estádio Do Dragão,Felix Brych
2016-2017,Round of 16,Wed,2017-02-22,Sevilla,2-1,Leicester City,Estadio Ramón Sánchez Pizjuán,Clément Turpin
2016-2017,Round of 16,Tue,2017-03-07,Arsenal,1-5,Bayern Munich,Emirates Stadium,Tasos Sidiropoulos
2016-2017,Round of 16,Tue,2017-03-07,Napoli,1-3,Real Madrid,Stadio San Paolo,Cüneyt Çakιr
2016-2017,Round of 16,Wed,2017-03-08,Dortmund,4-0,Benfica,Signal Iduna Park,Martin Atkinson
2016-2017,Round of 16,Wed,2017-03-08,Barcelona,6-1,Paris S-G,Camp Nou,Deniz Aytekin
2016-2017,Round of 16,Tue,2017-03-14,Leicester City,2-0,Sevilla,King Power Stadium,Daniele Orsato
2016-2017,Round of 16,Tue,2017-03-14,Juventus,1-0,Porto,Allianz Stadium,Ovidiu Hațegan
2016-2017,Round of 16,Wed,2017-03-15,Atlético Madrid,0-0,Leverkusen,Estadio Vicente Calderón,Sergey Karasev
2016-2017,Round of 16,Wed,2017-03-15,Monaco,3-1,Manchester City,Stade Louis II.,Gianluca Rocchi
2016-2017,Quarter-finals,Tue,2017-04-11,Juventus,3-0,Barcelona,Allianz Stadium,Szymon Marciniak
2016-2017,Quarter-finals,Wed,2017-04-12,Dortmund,2-3,Monaco,Signal Iduna Park,Daniele Orsato
2016-2017,Quarter-finals,Wed,2017-04-12,Atlético Madrid,1-0,Leicester City,Estadio Vicente Calderón,Jonas Eriksson
2016-2017,Quarter-finals,Wed,2017-04-12,Bayern Munich,1-2,Real Madrid,Allianz Arena,Nicola Rizzoli
2016-2017,Quarter-finals,Tue,2017-04-18,Leicester City,1-1,Atlético Madrid,King Power Stadium,Gianluca Rocchi
2016-2017,Quarter-finals,Tue,2017-04-18,Real Madrid,4-2,Bayern Munich,Estadio Santiago Bernabéu,Viktor Kassai
2016-2017,Quarter-finals,Wed,2017-04-19,Monaco,3-1,Dortmund,Stade Louis II.,Damir Skomina
2016-2017,Quarter-finals,Wed,2017-04-19,Barcelona,0-0,Juventus,Camp Nou,Björn Kuipers
2016-2017,Semi-finals,Tue,2017-05-02,Real Madrid,3-0,Atlético Madrid,Estadio Santiago Bernabéu,Martin Atkinson
2016-2017,Semi-finals,Wed,2017-05-03,Monaco,0-2,Juventus,Stade Louis II.,Antonio Matéu Lahoz
2016-2017,Semi-finals,Tue,2017-05-09,Juventus,2-1,Monaco,Allianz Stadium,Björn Kuipers
2016-2017,Semi-finals,Wed,2017-05-10,Atlético Madrid,2-1,Real Madrid,Estadio Vicente Calderón,Cüneyt Çakιr
